Sample,Key,Host-Ax1,Host-Ax2,DHost,MI-Ax1,MI-Ax2,DMI,B-Ax1,B-Ax2,Volume-MI,Volume-Bubble,Perc Vol
08RH05,Ash,380.16,504.49,442.325,,,,,,,,
08RH06,Ash,596.75,438.72,517.735,63.68,100.37,82.025,32.84,32.84,288959.7411,18544.19851,6.41757168
08RH10,Ash,1080,677,878.5,77,86.37,81.685,24.77,21.44,285381.3332,6458.275105,2.263033477
08RH12,Ash,908.3,377.23,642.765,79.67,61.22,70.445,21.1,19.88,183041.3215,4504.27085,2.460794542
08RH14,Ash,753.73,500.9,627.315,91.3,61.17,76.235,18.86,18.13,231986.0318,3312.543799,1.427906574
08RH22,Ash,784.95,711.52,748.235,120.3,99.61,109.955,36.25,34.86,696055.0216,23534.26673,3.381092873
08RH23,Ash,879.63,619.38,749.505,122.33,57.64,89.985,28.36,28.35,381512.6875,11936.79065,3.128805684
08RH24-01,Ash,819.8,354.37,587.085,101.29,83.82,92.555,25.75,27.84,415143.5337,10073.02488,2.426395706
08RH24-03,Ash,819.8,354.37,587.085,60.83,73.92,67.375,20.41,20.65,160138.2053,4530.701712,2.829244716
08RH25,Ash,380.97,494.53,437.75,61.74,44.79,53.265,15.37,14.64,79126.94827,1768.913603,2.235538766
08RH26,Ash,356.01,334.2,345.105,60.15,45.25,52.7,17.4,16.01,76635.58341,2440.832977,3.184986488
08RH31-01,Ash,437.76,424.92,431.34,52.15,59.72,55.935,17.98,16.86,91632.50296,2767.853339,3.020602133
08RH31-02,Ash,437.76,424.92,431.34,,,,,,,,
08RH39,Ash,514.95,469.39,492.17,60.31,74.03,67.17,18.32,21.34,158680.9045,4082.881402,2.573013695
08RH40,Ash,484.29,510.05,497.17,101.57,87.18,94.375,25.37,20.66,440118.3906,6383.098702,1.450314015
08RH41,Ash,374.06,350.38,362.22,70.42,81.2,75.81,18.71,13.73,228127.7474,2234.349834,0.979429227
08RH43,Ash,378.8,286.75,332.775,51.5,74.27,62.885,15.56,14.4,130208.6446,1760.086705,1.351743358
08RH44,Ash,507.92,318.15,413.035,93.76,72.76,83.26,24.83,21.44,302209.3119,6483.464449,2.145355618
08RH44-02,Ash,507.92,318.15,413.035,,,,,,,,
08RH45,Ash,682.81,382.48,532.645,50.23,50.88,50.555,15.34,14.41,67653.60859,1723.334354,2.547291105
08RH45-02,Ash,682.81,382.48,532.645,,,,,,,,
08RH46,Ash,340.15,645.84,492.995,163.54,113.99,138.765,35.32,28.83,1399066.773,17278.2048,1.234980713
08RH47,Ash,473.23,416.49,444.86,,,,,,,,
08RH49,Ash,384.18,237.72,310.95,71.73,66.87,69.3,14.47,16.88,174260.2473,2016.607002,1.157238689
08RH52,Ash,539.12,416.89,478.005,48.96,53.36,51.16,14.62,15.08,70111.65676,1714.659868,2.445613108
08RH53,Ash,342.12,364.09,353.105,45.48,65.31,55.395,14.4,16.48,89004.16341,1927.260899,2.165360389
08RH54,Ash,415.65,354.38,385.015,50.83,49.41,50.12,14.86,13.7,65922.21773,1524.695943,2.312871131
08RH55,Ash,519.77,789.6,654.685,,,,,,,,
08RH60,Ash,355.39,479.31,417.35,57.32,59.7,,15.65,15.93,104879.0915,2061.318079,1.965423279
08RH62,Ash,459.41,523.34,491.375,72.89,75.35,,20.18,22.51,213208.6667,5091.984814,2.388263523
08RH64,Ash,330.75,411.6,371.175,94.55,43.42,,16.24,19.26,171894.7561,2928.152521,1.703456573
10RH06,Scoria,352.28,354.15,353.215,51.08,67.35,59.215,,,,,
10RH07,Scoria,1120,683,901.5,60.23,52.17,56.2,16.94,19.02,92941.0488,3043.460605,3.274614009
10RH09,Scoria,501,693,597,106.23,64.94,85.585,26.98,26.84,328240.063,10203.2779,3.108480364
10RH10,Scoria,461,789,625,58.67,67.14,62.905,,,,,
10RH11,Scoria,427.67,693.29,560.48,95.47,138.71,117.09,21.27,24.59,840539.3316,6312.636564,0.75102215
